provinsi,jumlah penduduk 2019,jumlah kasus 2019,incidence rate per 100.000 penduduk 2019,meninggal 2019,CFR (%) 2019
Aceh,5371532,2386,44.42,6,0.25
Sumatera Utara,14562549,7731,53.09,38,0.49
Sumatera Barat,5441197,2263,41.59,9,0.4
Riau,6971745,4126,59.18,30,0.73
Jambi,3624579,2158,59.54,16,0.74
Sumatera Selatan,8470683,2799,33.04,16,0.57
Bengkulu,1991838,1479,74.25,13,0.88
Lampung,8447737,5611,66.42,17,0.3
Kep. Bangka Belitung,1488792,1012,67.97,10,0.99
Kep. Riau,2189653,1865,85.17,11,0.59
DKI Jakarta,10557810,8705,82.45,0,0.0
Jawa Barat,49316712,23483,47.62,97,0.41
Jawa Tengah,34718204,9124,26.28,123,1.35
DI Yogyakarta,3842932,3301,85.9,6,0.18
Jawa Timur,39698631,18397,46.34,186,1.01
Banten,12927316,2915,22.55,14,0.48
Bali,4336923,4979,114.8,5,0.1
Nusa Tenggara Barat,5070385,2971,58.6,16,0.54
Nusa Tenggara Timur,5456203,4059,74.39,55,1.36
Kalimantan Barat,5069127,2798,55.2,21,0.75
Kalimantan Tengah,2714859,1616,59.52,24,1.49
Kalimantan Selatan,4244096,2381,56.1,15,0.63
Kalimantan Timur,3721389,6723,180.66,44,0.65
Kalimantan Utara,742245,1774,239.0,15,0.85
Sulawesi Utara,2506981,2381,94.97,27,1.13
Sulawesi Tengah,3054023,1947,63.75,17,0.87
Sulawesi Selatan,8851240,3265,36.89,19,0.58
Sulawesi Tenggara,2704737,1479,54.68,8,0.54
Gorontalo,1202631,1221,101.53,23,1.88
Sulawesi Barat,1380256,796,57.67,8,1.01
Maluku,1802870,236,13.09,5,2.12
Maluku Utara,1255771,1195,95.16,16,1.34
Papua Barat,959617,354,36.89,3,0.85
Papua,3379302,597,17.67,6,1.01
